Journal of Statistical Software:  ['Software', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
TechTrends:  ['Computer Science Applications (Q2)', 'Education (Q2)']
Journal of Location Based Services:  ['Computer Networks and Communications (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Signal Processing (Q2)']
Information Technology and Management:  ['Business, Management and Accounting (miscellaneous) (Q2)', 'Communication (Q2)', 'Information Systems (Q2)']
Journal of King Saud University - Computer and Information Sciences:  ['Computer Science (miscellaneous) (Q2)']
Journal of Gaming & Virtual Worlds:  ['Computer Graphics and Computer-Aided Design (Q2)', 'Computer Science Applications (Q2)', 'Human-Computer Interaction (Q2)']
Journal of Systems Science and Systems Engineering:  ['Control and Systems Engineering (Q2)', 'Information Systems (Q2)']
Foundations and Trends in Networking:  ['Computer Networks and Communications (Q2)']
Photonics and Nanostructures - Fundamentals and Applications:  ['Atomic and Molecular Physics, and Optics (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Electronic, Optical and Magnetic Materials (Q2)', 'Hardware and Architecture (Q2)', 'Condensed Matter Physics (Q3)', 'Nanoscience and Nanotechnology (Q3)']
Computational Economics:  ['Computer Science Applications (Q2)', 'Economics, Econometrics and Finance (miscellaneous) (Q2)']
Journal of Internet Commerce:  ['Human-Computer Interaction (Q2)', 'Management of Technology and Innovation (Q2)']
Universal Access in the Information Society:  ['Computer Networks and Communications (Q2)', 'Human-Computer Interaction (Q2)', 'Information Systems (Q2)', 'Software (Q2)']
Intelligent Service Robotics:  ['Artificial Intelligence (Q2)', 'Computational Mechanics (Q2)', 'Engineering (miscellaneous) (Q2)', 'Mechanical Engineering (Q2)']
IET Biometrics:  ['Computer Vision and Pattern Recognition (Q2)', 'Signal Processing (Q2)', 'Software (Q2)']
Autonomous Agents and Multi-Agent Systems:  ['Artificial Intelligence (Q2)']
Expert Systems:  ['Artificial Intelligence (Q2)', 'Control and Systems Engineering (Q2)', 'Theoretical Computer Science (Q2)', 'Computational Theory and Mathematics (Q3)']
IEEE Transactions on Computational Social Systems:  ['Human-Computer Interaction (Q2)', 'Modeling and Simulation (Q2)', 'Social Sciences (miscellaneous) (Q2)']
Journal of Simulation:  ['Modeling and Simulation (Q2)', 'Software (Q2)']
AI Magazine:  ['Artificial Intelligence (Q2)']
International Journal of High Performance Computing and Networking:  ['Computer Networks and Communications (Q2)', 'Hardware and Architecture (Q2)', 'Software (Q2)']
Informatics in Education:  ['Communication (Q2)', 'Computer Science Applications (Q2)', 'Education (Q2)']
ACM Transactions on Internet Technology:  ['Computer Networks and Communications (Q2)']
Transactions on Data Privacy:  ['Software (Q2)', 'Statistics and Probability (Q3)']
Library Hi Tech:  ['Information Systems (Q2)', 'Library and Information Sciences (Q2)']
Eurasip Journal on Bioinformatics and Systems Biology:  ['Multidisciplinary', 'Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)', 'Computer Science Applications (Q2)', 'Computer Science (miscellaneous) (Q2)', 'Signal Processing (Q2)', 'Computational Mathematics (Q3)', 'Medicine (miscellaneous) (Q3)', 'Statistics and Probability (Q3)']
ACM Transactions on the Web:  ['Computer Networks and Communications (Q2)']
Information Systems and e-Business Management:  ['Information Systems (Q2)']
Electronic Government:  ['Computer Science Applications (Q2)', 'E-learning (Q2)', 'Public Administration (Q2)']
Journal of Cryptographic Engineering:  ['Computer Networks and Communications (Q2)', 'Software (Q2)']
Advances in Mathematics of Communications:  ['Computer Networks and Communications (Q2)', 'Algebra and Number Theory (Q3)', 'Applied Mathematics (Q3)', 'Discrete Mathematics and Combinatorics (Q3)']
Evolving Systems:  ['Computer Science Applications (Q2)', 'Control and Systems Engineering (Q2)', 'Control and Optimization (Q3)', 'Modeling and Simulation (Q3)']
Computational Linguistics:  ['Language and Linguistics', 'Linguistics and Language', 'Artificial Intelligence (Q2)', 'Computer Science Applications (Q2)']
Electronic Commerce Research:  ['Economics, Econometrics and Finance (miscellaneous) (Q2)', 'Human-Computer Interaction (Q2)']
IEEE Multimedia:  ['Media Technology', 'Computer Science Applications (Q2)', 'Hardware and Architecture (Q2)', 'Signal Processing (Q2)', 'Software (Q2)']
Journal of Electromagnetic Engineering and Science:  ['Computer Networks and Communications (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Instrumentation (Q2)', 'Radiation (Q3)']
Journal of Data and Information Quality:  ['Information Systems (Q2)', 'Information Systems and Management (Q2)']
i-Perception:  ['Artificial Intelligence (Q2)', 'Experimental and Cognitive Psychology (Q3)', 'Ophthalmology (Q3)', 'Sensory Systems (Q4)']
Semantic Web and Information Systems:  ['Computer Networks and Communications (Q2)', 'Information Systems (Q2)']
Computing (Vienna/New York):  ['Computer Science Applications (Q2)', 'Software (Q2)', 'Computational Mathematics (Q3)', 'Computational Theory and Mathematics (Q3)', 'Numerical Analysis (Q3)', 'Theoretical Computer Science (Q3)']
Information Technology for Development:  ['Computer Science Applications (Q2)', 'Development (Q2)', 'E-learning (Q2)', 'Public Administration (Q2)']
Journal of Visual Languages and Computing:  ['Language and Linguistics', 'Computer Science Applications (Q2)', 'Human-Computer Interaction (Q2)']
Annals of Mathematics and Artificial Intelligence:  ['Artificial Intelligence (Q2)', 'Applied Mathematics (Q3)']
IEEE Micro:  ['Electrical and Electronic Engineering (Q2)', 'Hardware and Architecture (Q2)', 'Software (Q2)']
Journal of Cloud Computing:  ['Computer Networks and Communications (Q2)', 'Software (Q2)']
Information Processing Letters:  ['Computer Science Applications (Q2)', 'Information Systems (Q2)', 'Signal Processing (Q2)', 'Theoretical Computer Science (Q3)']
Digital Applications in Archaeology and Cultural Heritage:  ['Archeology', 'Archeology (arts and humanities)', 'Anthropology (Q2)', 'Computer Science Applications (Q2)']
International Journal of Manufacturing Research:  ['Computer Science Applications (Q2)', 'Control and Systems Engineering (Q2)', 'Industrial and Manufacturing Engineering (Q2)', 'Modeling and Simulation (Q3)']
International Journal of Technology Management:  ['Computer Science Applications (Q2)', 'Engineering (miscellaneous) (Q2)', 'Industrial Relations (Q2)', 'Law (Q2)', 'Strategy and Management (Q2)']
Computational Intelligence:  ['Artificial Intelligence (Q2)', 'Computational Mathematics (Q3)']
Eurasip Journal on Image and Video Processing:  ['Electrical and Electronic Engineering (Q2)', 'Information Systems (Q2)', 'Signal Processing (Q2)']
ACM Transactions on Multimedia Computing, Communications and Applications:  ['Computer Networks and Communications (Q2)', 'Hardware and Architecture (Q2)']
Journal of Supercomputing:  ['Hardware and Architecture (Q2)', 'Information Systems (Q2)', 'Software (Q2)', 'Theoretical Computer Science (Q3)']
Egyptian Informatics Journal:  ['Computer Science Applications (Q2)', 'Information Systems (Q2)', 'Management Science and Operations Research (Q3)']
Inverse Problems in Science and Engineering:  ['Computer Science Applications (Q2)', 'Engineering (miscellaneous) (Q2)', 'Applied Mathematics (Q3)']
Software - Practice and Experience:  ['Software (Q2)']
Library Resources and Technical Services:  ['Information Systems (Q2)', 'Library and Information Sciences (Q2)']
APSIPA Transactions on Signal and Information Processing:  ['Information Systems (Q2)', 'Signal Processing (Q2)']
International Journal of Telemedicine and Applications:  ['Computer Networks and Communications (Q2)', 'Health Informatics (Q3)', 'Health Information Management (Q3)', 'Medicine (miscellaneous) (Q3)']
Journal of Internet Services and Applications:  ['Computer Networks and Communications (Q2)', 'Computer Science Applications (Q2)']
Computers and Electrical Engineering:  ['Computer Science (miscellaneous) (Q2)', 'Control and Systems Engineering (Q2)', 'Electrical and Electronic Engineering (Q2)']
International Journal of Modelling, Identification and Control:  ['Computer Science Applications (Q2)', 'Applied Mathematics (Q3)', 'Modeling and Simulation (Q3)']
Visual Computer:  ['Computer Graphics and Computer-Aided Design (Q2)', 'Computer Vision and Pattern Recognition (Q2)', 'Software (Q2)']
International Journal of Vehicular Technology:  ['Automotive Engineering (Q2)', 'Computer Science Applications (Q2)', 'Mechanical Engineering (Q2)']
Modelling, Measurement and Control B:  ['Computer Science Applications (Q2)', 'Mechanical Engineering (Q2)', 'Condensed Matter Physics (Q3)', 'Modeling and Simulation (Q3)']
Chinese Journal of Liquid Crystals and Displays:  ['Instrumentation (Q2)', 'Signal Processing (Q2)', 'Electronic, Optical and Magnetic Materials (Q3)']
Journal of Uncertain Systems:  ['Artificial Intelligence (Q2)', 'Computer Vision and Pattern Recognition (Q2)', 'Control and Optimization (Q3)']
Journal of innovation in health informatics:  ['Computer Science Applications (Q2)', 'Health Informatics (Q3)', 'Health Information Management (Q3)']
Personal and Ubiquitous Computing:  ['Computer Science Applications (Q2)', 'Hardware and Architecture (Q2)', 'Management Science and Operations Research (Q3)']
Logical Methods in Computer Science:  ['Computer Science (miscellaneous) (Q2)', 'Theoretical Computer Science (Q3)']
Mathematical and Computational Forestry and Natural-Resource Sciences:  ['Computer Science Applications (Q2)', 'Forestry (Q2)', 'Applied Mathematics (Q3)', 'Environmental Engineering (Q3)']
International Journal of Educational Technology in Higher Education:  ['Education (Q2)', 'E-learning (Q2)', 'Computer Science Applications (Q3)']
Journal of Bioinformatics and Computational Biology:  ['Biochemistry (Q3)', 'Computer Science Applications (Q3)', 'Molecular Biology (Q4)']
Natural Computing:  ['Computer Science Applications (Q3)']
Materials Discovery:  ['Information Systems (Q2)', 'Materials Science (miscellaneous) (Q2)']
International Journal of Design:  ['Computer Graphics and Computer-Aided Design (Q2)', 'Industrial and Manufacturing Engineering (Q2)', 'Marketing (Q2)', 'Strategy and Management (Q2)']
Performance Evaluation Review:  ['Computer Networks and Communications (Q2)', 'Hardware and Architecture (Q2)', 'Software (Q2)']
Computational Complexity:  ['Computational Mathematics (Q3)', 'Computational Theory and Mathematics (Q3)', 'Mathematics (miscellaneous) (Q3)', 'Theoretical Computer Science (Q3)']
IET Information Security:  ['Computer Networks and Communications (Q2)', 'Information Systems (Q2)', 'Software (Q2)']
Journal of Logic and Computation:  ['Arts and Humanities (miscellaneous) (Q2)', 'Hardware and Architecture (Q2)', 'Software (Q2)', 'Logic (Q3)', 'Theoretical Computer Science (Q3)']
International Journal of Imaging Systems and Technology:  ['Computer Vision and Pattern Recognition (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Software (Q2)', 'Electronic, Optical and Magnetic Materials (Q3)']
Statistical Analysis and Data Mining:  ['Information Systems (Q2)', 'Analysis (Q3)', 'Computer Science Applications (Q3)']
IET Signal Processing:  ['Electrical and Electronic Engineering (Q2)', 'Signal Processing (Q2)']
International Journal on Communications Antenna and Propagation:  ['Media Technology', 'Computer Networks and Communications (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Hardware and Architecture (Q2)', 'Signal Processing (Q2)']
IEEE Internet Computing:  ['Computer Networks and Communications (Q2)']
Pattern Analysis and Applications:  ['Artificial Intelligence (Q2)', 'Computer Vision and Pattern Recognition (Q2)']
Computer Standards and Interfaces:  ['Hardware and Architecture (Q2)', 'Law (Q2)', 'Software (Q2)']
Simulation and Gaming:  ['Business, Management and Accounting (miscellaneous) (Q2)', 'Computer Science Applications (Q3)']
Formal Aspects of Computing:  ['Software (Q2)', 'Theoretical Computer Science (Q3)']
Annals of GIS:  ['Earth and Planetary Sciences (miscellaneous) (Q2)', 'Computer Science Applications (Q3)']
Artificial Life:  ['Artificial Intelligence (Q2)', 'Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)']
Genetic Programming and Evolvable Machines:  ['Hardware and Architecture (Q2)', 'Software (Q2)', 'Computer Science Applications (Q3)', 'Theoretical Computer Science (Q3)']
RAIRO - Theoretical Informatics and Applications:  ['Software (Q2)', 'Computer Science Applications (Q3)', 'Mathematics (miscellaneous) (Q3)']
Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM:  ['Industrial and Manufacturing Engineering (Q2)', 'Artificial Intelligence (Q3)']
Robotica:  ['Control and Systems Engineering (Q2)', 'Software (Q2)', 'Computer Science Applications (Q3)', 'Mathematics (miscellaneous) (Q3)']
Cluster Computing:  ['Computer Networks and Communications (Q2)', 'Software (Q2)']
International Journal of Computational Science and Engineering:  ['Hardware and Architecture (Q2)', 'Software (Q2)', 'Computational Mathematics (Q3)', 'Computational Theory and Mathematics (Q3)', 'Modeling and Simulation (Q3)']
Theory of Computing Systems:  ['Computational Theory and Mathematics (Q3)', 'Theoretical Computer Science (Q3)']
Journal of Enabling Technologies:  ['Health (social science) (Q2)', 'Management of Technology and Innovation (Q2)', 'Computer Science Applications (Q3)', 'Rehabilitation (Q3)']
International Journal of Computational Geometry and Applications:  ['Applied Mathematics (Q3)', 'Computational Mathematics (Q3)', 'Computational Theory and Mathematics (Q3)', 'Geometry and Topology (Q3)', 'Theoretical Computer Science (Q3)']
Moscow University Computational Mathematics and Cybernetics:  ['Human-Computer Interaction (Q2)', 'Computational Mathematics (Q3)', 'Control and Optimization (Q3)']
Pervasive and Mobile Computing:  ['Computer Science (miscellaneous) (Q2)', 'Applied Mathematics (Q3)']
